"","participant","condition","mean_dev"
"153","ams07","spondee",-0.055
"154","ams07","stressed_spondee",-0.0648148148148148
"155","ams07","trochee",-0.114
"156","ams07","unpredictable",0.0135416666666667
"157","ams08","spondee",-0.142592592592593
"158","ams08","stressed_spondee",-0.075
"159","ams08","trochee",-0.146
"160","ams08","unpredictable",0.0625
"161","ams09","spondee",-0.208333333333333
"162","ams09","stressed_spondee",-0.2
"163","ams09","trochee",-0.0814814814814815
"164","ams09","unpredictable",-0.166666666666667
"165","ams10","spondee",-3.46944695195361e-18
"166","ams10","stressed_spondee",0.0125
"167","ams10","trochee",-0.149259259259259
"168","ams10","unpredictable",-0.204166666666667
"169","ams11","spondee",-0.0583333333333333
"170","ams11","stressed_spondee",-0.0541666666666667
"171","ams11","trochee",-0.07
"172","ams11","unpredictable",-0.0291666666666667
"173","ams12","spondee",0.00925925925925924
"174","ams12","stressed_spondee",-0.0407407407407407
"175","ams12","trochee",-0.226666666666667
"176","ams12","unpredictable",-0.196428571428571
"177","ams13","spondee",-0.0183333333333333
"178","ams13","stressed_spondee",-0.03
"179","ams13","trochee",-0.0116666666666667
"180","ams13","unpredictable",-0.156944444444444
"181","ams14","spondee",-0.103703703703704
"182","ams14","stressed_spondee",-0.161111111111111
"183","ams14","trochee",-0.135333333333333
"184","ams14","unpredictable",-0.15
"185","ams15","spondee",-0.136666666666667
"186","ams15","stressed_spondee",-0.162962962962963
"187","ams15","trochee",-0.389583333333333
"188","ams15","unpredictable",-0.236458333333333
"189","ams16","spondee",-0.0983333333333334
"190","ams16","stressed_spondee",-0.131481481481481
"191","ams16","trochee",-0.100333333333333
"192","ams16","unpredictable",-0.0697916666666666
"193","ams17","spondee",-0.113333333333333
"194","ams17","stressed_spondee",-0.0466666666666667
"195","ams17","trochee",-0.12047619047619
"196","ams17","unpredictable",-0.194444444444445
"197","ams18","spondee",0.06
"198","ams18","stressed_spondee",0.0259259259259259
"199","ams18","trochee",-0.024
"200","ams18","unpredictable",-0.0452380952380952
"201","ams19","spondee",0.0166666666666667
"202","ams19","stressed_spondee",-0.0116666666666667
"203","ams19","trochee",-0.181481481481481
"204","ams19","unpredictable",-0.258333333333333
"205","ams20","spondee",-0.144444444444444
"206","ams20","stressed_spondee",-0.115
"207","ams20","trochee",-0.326666666666667
"208","ams20","unpredictable",-0.404166666666667
"209","ams21","spondee",-0.00333333333333336
"210","ams21","stressed_spondee",-0.0866666666666667
"211","ams21","trochee",-0.061
"212","ams21","unpredictable",-0.155952380952381
"213","ams22","spondee",0.0240740740740741
"214","ams22","stressed_spondee",-0.035
"215","ams22","trochee",-0.0977777777777778
"216","ams22","unpredictable",-0.237962962962963
"217","ams23","spondee",-0.0766666666666667
"218","ams23","stressed_spondee",-0.105
"219","ams23","trochee",-0.082
"220","ams23","unpredictable",-0.00666666666666666
"221","ams24","spondee",-0.359259259259259
"222","ams24","stressed_spondee",-0.427083333333333
"223","ams24","trochee",-0.313
"224","ams24","unpredictable",-0.389583333333333
"225","ams25","spondee",0.062962962962963
"226","ams25","stressed_spondee",0.0133333333333333
"227","ams25","trochee",-0.00740740740740741
"228","ams25","unpredictable",-0.138333333333333
"229","ams26","spondee",-0.166666666666667
"230","ams26","stressed_spondee",-0.0283333333333333
"231","ams26","trochee",-0.185833333333333
"232","ams26","unpredictable",-0.172619047619048
"233","ams27","spondee",0.0722222222222222
"234","ams27","stressed_spondee",0.0333333333333333
"235","ams27","trochee",-0.183333333333333
"236","ams27","unpredictable",-0.111666666666667
"237","ams28","spondee",-0.0203703703703704
"238","ams28","stressed_spondee",-0.0407407407407408
"239","ams28","trochee",-0.0943333333333333
"240","ams28","unpredictable",-0.188888888888889
"241","ams29","spondee",0.00999999999999999
"242","ams29","stressed_spondee",-0.00333333333333335
"243","ams29","trochee",-0.0159259259259259
"244","ams29","unpredictable",-0.0666666666666667
"245","ams30","spondee",-0.0883333333333333
"246","ams30","stressed_spondee",-0.07
"247","ams30","trochee",-0.172380952380952
"248","ams30","unpredictable",-0.0916666666666667
"249","ams31","spondee",0.0733333333333333
"250","ams31","stressed_spondee",0.0770833333333333
"251","ams31","trochee",-0.105833333333333
"252","ams31","unpredictable",-0.179166666666667
"253","ams32","spondee",-0.025
"254","ams32","stressed_spondee",-0.0583333333333333
"255","ams32","trochee",-0.150833333333333
"256","ams32","unpredictable",-0.29
"257","ies01","spondee",0.0925925925925926
"258","ies01","stressed_spondee",0.062962962962963
"259","ies01","trochee",-0.0385714285714286
"260","ies01","unpredictable",0.0416666666666666
"261","ies02","spondee",-0.06
"262","ies02","stressed_spondee",0.00833333333333334
"263","ies02","trochee",-0.164285714285714
"264","ies02","unpredictable",-0.410416666666667
"265","ies03","spondee",0.0266666666666667
"266","ies03","stressed_spondee",0.0555555555555555
"267","ies03","trochee",-0.0688888888888889
"268","ies03","unpredictable",-0.343333333333333
"269","ies04","spondee",-0.00833333333333333
"270","ies04","stressed_spondee",-0.0571428571428572
"271","ies04","trochee",-0.176111111111111
"272","ies04","unpredictable",-0.0648148148148148
"273","ies05","spondee",0.0714285714285714
"274","ies05","stressed_spondee",0.00333333333333331
"275","ies05","trochee",-0.223333333333333
"276","ies05","unpredictable",0.0125
"277","ies06","spondee",0.00499999999999999
"278","ies06","stressed_spondee",0.0283333333333333
"279","ies06","trochee",0.005
"280","ies06","unpredictable",-0.0392857142857143
"281","ies07","spondee",-0.055
"282","ies07","stressed_spondee",-0.035
"283","ies07","trochee",-0.372592592592593
"284","ies07","unpredictable",-0.286111111111111
"285","ies08","spondee",0.0270833333333333
"286","ies08","stressed_spondee",0.00499999999999998
"287","ies08","trochee",-0.0326666666666667
"288","ies08","unpredictable",-0.15
"289","ies09","spondee",-0.0333333333333333
"290","ies09","stressed_spondee",0.0259259259259259
"291","ies09","trochee",-0.0262962962962963
"292","ies09","unpredictable",3.0727451213424e-17
"293","ies10","spondee",0.0216666666666667
"294","ies10","stressed_spondee",0.0222222222222222
"295","ies10","trochee",-0.0491666666666667
"296","ies10","unpredictable",-0.0666666666666667
"297","ies11","spondee",0.05
"298","ies11","stressed_spondee",0.0166666666666667
"299","ies11","trochee",-0.19
"300","ies11","unpredictable",0.0194444444444444
"301","ies12","spondee",0.0185185185185185
"302","ies12","stressed_spondee",0.00555555555555555
"303","ies12","trochee",-0.157777777777778
"304","ies12","unpredictable",-0.126041666666667
"305","ies13","spondee",-0.146666666666667
"306","ies13","stressed_spondee",-0.0619047619047619
"307","ies13","trochee",-0.213888888888889
