"","participant","base_note","direction","rt"
"169","aes10","DO","up",0.6625
"170","aes11","DO","up",0.729166666666667
"171","aes12","DO","up",1.50555555555556
"172","aes13","DO","up",NA
"173","aes14","DO","up",0.616666666666667
"174","aes15","DO","up",1.56666666666667
"175","aes16","DO","up",0.475
"176","aes17","DO","up",0.395833333333333
"177","aes18","DO","up",0.671428571428571
"178","aes19","DO","up",0.920833333333333
"179","aes20","DO","up",0.7625
"180","aes21","DO","up",0.922916666666667
"181","aes22","DO","up",0.620833333333333
"182","aes23","DO","up",0.460416666666667
"183","aes24","DO","up",0.777777777777778
"184","aes25","DO","up",0.54375
"185","aes26","DO","up",0.69375
"186","aes27","DO","up",1.48958333333333
"187","aes28","DO","up",0.495833333333333
"188","aes29","DO","up",0.995238095238095
"189","aes30","DO","up",0.422916666666667
"190","aes31","DO","up",0.747916666666667
"191","aes32","DO","up",0.91875
"192","ams01","DO","up",0.906666666666667
"193","ams02","DO","up",1.33571428571429
"194","ams03","DO","up",0.64375
"195","ams04","DO","up",0.560416666666667
"196","ams05","DO","up",1.31111111111111
"197","ams06","DO","up",1.0875
"198","ams07","DO","up",0.70625
"199","ams08","DO","up",0.946666666666667
"200","ams09","DO","up",1.67619047619048
"201","ams10","DO","up",1.11875
"202","ams11","DO","up",1.14
"203","ams12","DO","up",0.922222222222222
"204","ams13","DO","up",0.542857142857143
"205","ams14","DO","up",0.68125
"206","ams15","DO","up",0.866666666666667
"207","ams16","DO","up",1.14166666666667
"208","ams17","DO","up",0.391666666666667
"209","ams18","DO","up",0.823809523809524
"210","ams19","DO","up",1.38666666666667
"211","ams20","DO","up",1.15625
"212","ams21","DO","up",0.702083333333333
"213","ams22","DO","up",0.583333333333333
"214","ams23","DO","up",0.7375
"215","ams24","DO","up",0.802083333333333
"216","ams25","DO","up",0.669444444444445
"217","ams26","DO","up",0.814583333333333
"218","ams27","DO","up",0.736111111111111
"219","ams28","DO","up",1.31666666666667
"220","ams29","DO","up",0.65952380952381
"221","ams30","DO","up",1.29166666666667
"222","ams31","DO","up",1.4
"223","ams32","DO","up",1.33571428571429
"224","ies01","DO","up",0.485416666666667
"225","ies02","DO","up",0.25
"226","ies03","DO","up",0.447916666666667
"227","ies04","DO","up",0.902083333333333
"228","ies05","DO","up",0.5875
"229","ies06","DO","up",0.44375
"230","ies07","DO","up",0.811111111111111
"231","ies08","DO","up",0.844444444444444
"232","ies09","DO","up",0.741666666666667
"233","ies10","DO","up",1.06666666666667
"234","ies11","DO","up",0.41875
"235","ies12","DO","up",0.8375
"236","ies13","DO","up",0.855555555555556
"237","ies14","DO","up",1.0625
"238","ies15","DO","up",0.939583333333333
"239","ies16","DO","up",1.56944444444444
"240","ies17","DO","up",1.16041666666667
"241","ies18","DO","up",0.6625
"242","ies19","DO","up",0.55952380952381
"243","ies20","DO","up",1.30416666666667
"244","ies21","DO","up",0.7625
"245","ies22","DO","up",1.12291666666667
"246","ies23","DO","up",0.59375
"247","ies24","DO","up",2.25
"248","ies25","DO","up",0.497916666666667
"249","ies26","DO","up",0.902083333333333
"250","ies27","DO","up",0.754166666666667
"251","ies28","DO","up",1.37291666666667
"252","ies29","DO","up",1.15952380952381
"253","ies30","DO","up",0.722222222222222
"254","ies31","DO","up",0.975
"255","ies32","DO","up",1.52916666666667
"256","ies33","DO","up",0.588095238095238
"257","ims01","DO","up",1.17857142857143
"258","ims02","DO","up",1.31
"259","ims03","DO","up",NA
"260","ims04","DO","up",0.4625
"261","ims05","DO","up",0.480952380952381
"262","ims06","DO","up",1.13888888888889
"263","ims07","DO","up",1.31111111111111
"264","ims08","DO","up",1.5375
"265","ims09","DO","up",0.742857142857143
"266","ims10","DO","up",0.966666666666667
"267","ims11","DO","up",1.15277777777778
"268","ims12","DO","up",1.48333333333333
"269","ims13","DO","up",1.16111111111111
"270","ims14","DO","up",1.42291666666667
"271","ims15","DO","up",1.12083333333333
"272","ims16","DO","up",0.758333333333333
"273","ims17","DO","up",1.21875
"274","ims18","DO","up",0.921428571428571
"275","ims19","DO","up",0.828571428571429
"276","ims20","DO","up",1.51428571428571
"277","ims21","DO","up",0.729166666666667
"278","ims22","DO","up",0.972222222222222
"279","ims23","DO","up",1.483333333
"280","ims24","DO","up",NA
"281","ims25","DO","up",1.01666666666667
"282","ims26","DO","up",1.09
"283","ims27","DO","up",1.33958333333333
"284","ims28","DO","up",1.375
"285","ims29","DO","up",1.19761904761905
"286","ims30","DO","up",0.84
"287","ims31","DO","up",1.375
"288","ims32","DO","up",1.35277777777778
"289","mon01","DO","up",1.2
"290","mon02","DO","up",1.175
"291","mon03","DO","up",1.01666666666667
"292","mon04","DO","up",0.983333333333333
"293","mon05","DO","up",0.69375
"294","mon06","DO","up",0.5
"295","mon07","DO","up",1.17916666666667
"296","mon08","DO","up",0.783333333333333
"297","mon09","DO","up",0.94375
"298","mon10","DO","up",1.31666666666667
"299","mon11","DO","up",0.741666666666667
"300","mon12","DO","up",NA
"301","mon13","DO","up",1.45
"302","mon14","DO","up",0.708333333333333
"303","mon15","DO","up",NA
"304","mon16","DO","up",0.683333333333333
"305","mon17","DO","up",0.488095238095238
"306","mon18","DO","up",NA
"307","mon19","DO","up",NA
"308","mon20","DO","up",NA
"309","mon21","DO","up",NA
"310","mon22","DO","up",0.864285714285714
"311","mon23","DO","up",0.427777777777778
"312","mon24","DO","up",1.04166666666667
"313","mon25","DO","up",1.06666666666667
"314","mon26","DO","up",1.425
"315","mon27","DO","up",NA
"316","mon28","DO","up",1.17777777777778
"317","mon29","DO","up",0.408333333333333
"318","mon30","DO","up",1.15833333333333
"319","aes01","MI","down",0.577083333333333
"320","aes02","MI","down",0.616666666666667
"321","aes03","MI","down",0.789583333333333
"322","aes04","MI","down",0.7625
"323","aes05","MI","down",0.647916666666667
"324","aes06","MI","down",0.345833333333333
"325","aes07","MI","down",0.722916666666667
"326","aes08","MI","down",0.452380952380952
"327","aes09","MI","down",0.788095238095238
"328","aes10","MI","down",0.522916666666667
"329","aes11","MI","down",0.591666666666667
"330","aes12","MI","down",1.17291666666667
"331","aes13","MI","down",1.05833333333333
"332","aes14","MI","down",0.55625
"333","aes15","MI","down",1.69791666666667
"334","aes16","MI","down",0.425
"335","aes17","MI","down",0.339583333333333
"336","aes18","MI","down",0.458333333333333
"337","aes19","MI","down",0.583333333333333
"338","aes20","MI","down",0.572916666666667
"339","aes21","MI","down",0.702083333333333
"340","aes22","MI","down",0.552083333333333
"341","aes23","MI","down",0.422916666666667
"342","aes24","MI","down",0.883333333333333
"343","aes25","MI","down",0.520833333333333
"344","aes26","MI","down",0.65625
"345","aes27","MI","down",1.30952380952381
"346","aes28","MI","down",0.366666666666667
"347","aes29","MI","down",0.720833333333333
"348","aes30","MI","down",0.344444444444444
"349","aes31","MI","down",0.5375
"350","aes32","MI","down",0.833333333333333
"351","ams01","MI","down",0.629166666666667
"352","ams02","MI","down",1.02222222222222
"353","ams03","MI","down",0.533333333333333
"354","ams04","MI","down",0.554166666666667
"355","ams05","MI","down",1.55
"356","ams06","MI","down",0.772222222222222
"357","ams07","MI","down",0.429166666666667
"358","ams08","MI","down",1.275
"359","ams09","MI","down",1.39666666666667
"360","ams10","MI","down",0.858333333333333
"361","ams11","MI","down",1.35416666666667
"362","ams12","MI","down",0.81875
"363","ams13","MI","down",0.439583333333333
"364","ams14","MI","down",0.747619047619048
"365","ams15","MI","down",0.614285714285714
"366","ams16","MI","down",0.552083333333333
