"","subject_id","DO_down","DO_up","MI_down","MI_up","SOL_down","SOL_up"
"1","ae01",0.489583333333333,0.908333333333333,0.577083333333333,0.6625,0.491666666666667,0.514583333333333
"2","ae02",0.660416666666667,0.735416666666667,0.616666666666667,0.697916666666667,0.645833333333333,0.491666666666667
"3","ae03",0.69375,0.889583333333333,0.789583333333333,0.8875,0.847916666666667,0.816666666666667
"4","ae04",0.775,0.797916666666667,0.7625,0.79375,0.73125,0.6625
"5","ae05",0.441666666666667,0.5625,0.647916666666667,0.552083333333333,0.727083333333333,0.479166666666667
"6","ae06",0.43125,0.466666666666667,0.345833333333333,0.441666666666667,0.335416666666667,0.35
"7","ae07",0.611904761904762,0.954166666666667,0.722916666666667,1.08666666666667,0.733333333333333,0.819047619047619
"8","ae08",0.454166666666667,0.420833333333333,0.452380952380952,0.441666666666667,0.454166666666667,0.520833333333333
"9","ae09",0.53125,1.66666666666667,0.788095238095238,1.14666666666667,1.00833333333333,0.454166666666667
"10","ae10",0.560416666666667,0.6625,0.522916666666667,0.791666666666667,0.602083333333333,0.685416666666667
"11","ae11",0.614583333333333,0.729166666666667,0.591666666666667,0.777083333333333,0.54375,0.689583333333333
"12","ae12",1.25714285714286,1.50555555555556,1.17291666666667,1.55,1.30333333333333,1.08125
"13","ae13",0.985416666666667,NA,1.05833333333333,1.23888888888889,1.30833333333333,1.01666666666667
"14","ae14",0.452083333333333,0.616666666666667,0.55625,0.597916666666667,0.464583333333333,0.39375
"15","ae15",1.74583333333333,1.56666666666667,1.69791666666667,1.75952380952381,1.55416666666667,1.625
"16","ae16",0.41875,0.475,0.425,0.4125,0.395833333333333,0.354166666666667
"17","ae17",0.404166666666667,0.395833333333333,0.339583333333333,0.369047619047619,0.360416666666667,0.325
"18","ae18",0.425,0.671428571428571,0.458333333333333,0.533333333333333,0.435416666666667,0.48125
"19","ae19",0.552083333333333,0.920833333333333,0.583333333333333,0.666666666666667,0.585416666666667,0.489583333333333
"20","ae20",0.535416666666667,0.7625,0.572916666666667,0.7375,0.61875,0.477083333333333
"21","ae21",0.5875,0.922916666666667,0.702083333333333,1.06666666666667,0.55,1.01875
"22","ae22",0.58125,0.620833333333333,0.552083333333333,0.63125,0.566666666666667,0.595833333333333
"23","ae23",0.404166666666667,0.460416666666667,0.422916666666667,0.5,0.48125,0.385416666666667
"24","ae24",0.783333333333333,0.777777777777778,0.883333333333333,0.827777777777778,1.22777777777778,0.6625
"25","ae25",0.495833333333333,0.54375,0.520833333333333,0.560416666666667,0.55625,0.464583333333333
"26","ae26",0.489583333333333,0.69375,0.65625,0.702083333333333,0.48125,0.529166666666667
"27","ae27",1.26875,1.48958333333333,1.30952380952381,1.16,1.34722222222222,1.18541666666667
"28","ae28",0.4125,0.495833333333333,0.366666666666667,0.427083333333333,0.522916666666667,0.377083333333333
"29","ae29",0.460416666666667,0.995238095238095,0.720833333333333,0.652083333333333,0.81875,0.516666666666667
"30","ae30",0.3,0.422916666666667,0.344444444444444,0.289583333333333,0.313888888888889,0.296666666666667
"31","ae31",0.595833333333333,0.747916666666667,0.5375,0.654166666666667,0.529166666666667,0.539583333333333
"32","ae32",0.776190476190476,0.91875,0.833333333333333,1.25208333333333,1.14375,0.870833333333333
"33","am01",0.452083333333333,0.906666666666667,0.629166666666667,0.683333333333333,0.633333333333333,0.591666666666667
"34","am02",0.952083333333333,1.33571428571429,1.02222222222222,1.65,1.50277777777778,1.23333333333333
"35","am03",0.470833333333333,0.64375,0.533333333333333,0.564285714285714,0.4125,0.44375
"36","am04",0.489583333333333,0.560416666666667,0.554166666666667,0.572916666666667,0.56875,0.495833333333333
"37","am05",1.34285714285714,1.31111111111111,1.55,1.38333333333333,1.57777777777778,1.1625
"38","am06",0.520833333333333,1.0875,0.772222222222222,0.84047619047619,0.707142857142857,0.63125
"39","am07",0.527083333333333,0.70625,0.429166666666667,0.610416666666667,0.439583333333333,0.508333333333333
"40","am08",0.833333333333333,0.946666666666667,1.275,0.769444444444444,0.7625,0.91875
"41","am09",1.14047619047619,1.67619047619048,1.39666666666667,1.47619047619048,1.30238095238095,1.16666666666667
"42","am10",0.8,1.11875,0.858333333333333,0.820833333333333,0.879166666666667,0.935416666666667
