"","participant","spondee","stressed_spondee","trochee","unpredictable"
"123","ims26",-0.135,-0.0770833333333333,-0.105925925925926,-0.257407407407407
"124","ims27",-0.08,-0.0722222222222222,0.0203703703703704,0.0472222222222222
"125","ims28",-0.0333333333333333,-0.0611111111111111,-0.177777777777778,-0.147222222222222
"126","ims29",0.045,0.015,0.0174074074074074,-0.0319444444444444
"127","ims30",-0.015,-0.025,-0.024,-0.025
"128","ims31",-0.05,-0.0333333333333333,-0.225,-0.116666666666667
"129","ims32",-0.0566666666666667,1.53896475038915e-18,-0.025,-0.0041666666666666
"130","mon01",NA,0.025,-0.115555555555556,0.125
"131","mon02",-0.00166666666666667,0.00333333333333332,-0.124444444444444,0.0402777777777778
"132","mon03",-0.171666666666667,-0.025,-0.092,-0.263333333333333
"133","mon04",-0.218333333333333,-0.0925925925925926,-0.18875,-0.179166666666667
"134","mon05",-0.403333333333333,-0.406666666666667,-0.424,-0.423333333333333
"135","mon06",-0.325,-0.323333333333333,-0.372962962962963,-0.391666666666667
"136","mon07",-0.0104166666666667,-0.05,-0.225333333333333,-0.05
"137","mon08",-0.473333333333333,-0.391666666666667,-0.473,-0.296666666666667
"138","mon09",-0.146666666666667,-0.0683333333333333,-0.0866666666666667,-0.293055555555556
"139","mon10",-0.518333333333333,-0.381666666666667,-0.525,-0.210185185185185
"140","mon11",-0.177777777777778,-0.0458333333333333,-0.161666666666667,0.00833333333333341
"141","mon13",-0.476666666666667,-0.424074074074074,-0.479666666666667,-0.515
"142","mon14",-0.00333333333333334,-0.0416666666666667,-0.136333333333333,-0.188095238095238
"143","mon15",-0.205,-0.196296296296296,-0.226190476190476,-0.188888888888889
"144","mon16",0.0380952380952381,-0.01875,-0.151111111111111,-0.179166666666667
"145","mon17",-0.218518518518519,-0.155,-0.295,-0.35
"146","mon18",-0.0333333333333333,-0.02,-0.0666666666666667,-0.101190476190476
"147","mon19",-0.343333333333333,-0.333333333333333,-0.32,-0.325833333333333
"148","mon20",-0.395,-0.288888888888889,-0.339259259259259,-0.289166666666667
"149","mon21",-0.445,-0.361111111111111,-0.427,-0.4
"150","mon22",-0.145,-0.0777777777777778,-0.255333333333333,-0.1625
"151","mon23",-0.458333333333333,-0.463333333333333,-0.334,-0.446666666666667
"152","mon24",-0.505,-0.481666666666667,-0.317666666666667,-0.506666666666667
"153","mon25",0.0333333333333333,-0.0333333333333333,-0.242777777777778,-0.15
"154","mon26",-0.17037037037037,6.59127158235406e-18,-0.0709523809523809,0.0354166666666667
"155","mon27",-0.468333333333333,-0.446666666666667,-0.46,-0.463333333333333
"156","mon28",-0.06,-0.0361111111111111,-0.22952380952381,-0.0888888888888889
"157","mon29",0.035,-0.0770833333333333,-0.0696296296296296,-0.0566666666666667
"158","mon30",-0.03,-0.05,-0.294761904761905,-0.335416666666667
