subject_id,date,trial,direction,speed,deviation_cm,deviation_sec
im01,2020/02/07 12:15:16,1,right,medium,-3.0199999999999765,-0.5852713178294527
im01,2020/02/07 12:15:16,2,left,fast,-3.6172999999999824,-0.5104134330464206
im01,2020/02/07 12:15:16,3,left,slow,-1.9117666666667246,-0.5896874357392735
im01,2020/02/07 12:15:16,4,right,slow,-2.235966666666722,-0.6896874357392727
im01,2020/02/07 12:15:16,5,right,fast,-2.4361333333333137,-0.3437467663797536
im01,2020/02/07 12:15:16,6,right,medium,-1.0419999999999723,-0.20193798449611866
im01,2020/02/07 12:15:16,7,left,medium,-0.6119999999999708,-0.11860465116278503
im01,2020/02/07 12:15:16,8,left,fast,-5.270933333333317,-0.743746766379754
im01,2020/02/07 12:15:16,9,right,fast,-2.908599999999981,-0.4104134330464204
im01,2020/02/07 12:15:16,10,left,medium,-0.6979999999999711,-0.13527131782945176
im01,2020/02/07 12:15:16,11,right,medium,-1.9879999999999756,-0.3852713178294526
im01,2020/02/07 12:15:16,12,left,fast,-4.562233333333317,-0.6437467663797541
im01,2020/02/07 12:15:16,13,left,slow,-0.45286666666673536,-0.1396874357392768
im01,2020/02/07 12:15:16,14,right,slow,0.1414999999999269,0.04364589759405518
im01,2020/02/07 12:15:16,15,right,medium,-1.7299999999999747,-0.33527131782945246
im01,2020/02/07 12:15:16,16,left,medium,4.462000000000046,0.8647286821705515
im01,2020/02/07 12:15:16,17,right,slow,0.8979666666665871,0.2769792309273865
im01,2020/02/07 12:15:16,18,left,fast,-0.5462666666666509,-0.07708009971308748
im01,2020/02/07 12:15:16,19,left,slow,2.248799999999912,0.6936458975940506
im01,2020/02/07 12:15:16,20,left,medium,2.3120000000000385,0.4480620155038834
im01,2020/02/07 12:15:16,21,right,medium,2.74200000000004,0.5313953488372171
im01,2020/02/07 12:15:16,22,left,fast,NA,NA
im01,2020/02/07 12:15:16,23,left,medium,-3.965999999999975,-0.7686046511627858
im01,2020/02/07 12:15:16,24,right,fast,-0.31003333333331806,-0.04374676637975421
im01,2020/02/07 12:15:16,25,left,medium,-4.309999999999974,-0.8352713178294523
im01,2020/02/07 12:15:16,26,left,slow,-2.9924333333333877,-0.9230207690726057
im01,2020/02/07 12:15:16,27,right,slow,1.7084666666665829,0.5269792309273852
im01,2020/02/07 12:15:16,28,right,medium,-2.5899999999999768,-0.5019379844961195
im01,2020/02/07 12:15:16,29,left,fast,-3.144833333333315,-0.4437467663797538
im01,2020/02/07 12:15:16,30,right,fast,2.406650000000017,0.33958656695357936
im01,2020/02/07 12:15:16,31,right,slow,-2.1279000000000563,-0.6563541024059396
im01,2020/02/07 12:15:16,32,left,fast,-3.2629499999999823,-0.4604134330464205
im01,2020/02/07 12:15:16,33,left,slow,0.6277999999999224,0.1936458975940538
im01,2020/02/07 12:15:16,34,right,medium,3.5160000000000426,0.6813953488372175
im01,2020/02/07 12:15:16,35,right,fast,NA,NA
im01,2020/02/07 12:15:16,36,right,slow,-2.452100000000054,-0.7563541024059389
im01,2020/02/07 12:15:16,37,left,slow,-1.1553000000000635,-0.35635410240594184
im01,2020/02/07 12:15:16,38,left,fast,-3.0267166666666476,-0.427080099713087
im01,2020/02/07 12:15:16,39,left,medium,-0.0099999999999687,-0.001937984496117965
im01,2020/02/07 12:15:16,40,right,fast,1.8160666666666803,0.25625323362024555
im01,2020/02/07 12:15:16,41,right,slow,-1.2093333333333964,-0.3730207690726084
im01,2020/02/07 12:15:16,42,right,fast,1.3436000000000128,0.18958656695357878
im01,2020/02/07 12:15:16,43,left,slow,0.6277999999999224,0.1936458975940538
im01,2020/02/07 12:15:16,44,left,fast,3.58781666666669,0.506253233620247
im01,2020/02/07 12:15:16,45,right,medium,0.2480000000000322,0.048062015503882206
im01,2020/02/07 12:15:16,46,right,slow,-0.7230333333334,-0.2230207690726095
im01,2020/02/07 12:15:16,47,right,fast,-0.31003333333331806,-0.04374676637975421
im01,2020/02/07 12:15:16,48,right,slow,3.221399999999905,0.9936458975940484
im01,2020/02/07 12:15:16,49,left,medium,-0.4399999999999702,-0.08527131782945159
im01,2020/02/07 12:15:16,50,right,fast,2.7610000000000188,0.3895865669535796
im01,2020/02/07 12:15:16,51,left,medium,2.6560000000000397,0.5147286821705503
im01,2020/02/07 12:15:16,52,right,medium,1.9680000000000373,0.38139534883721654
im01,2020/02/07 12:15:16,53,left,slow,-2.0198333333333904,-0.6230207690726065
im01,2020/02/07 12:15:16,54,right,slow,2.410899999999911,0.7436458975940503
im01,2020/02/07 12:15:16,55,right,medium,NA,NA
im01,2020/02/07 12:15:16,56,left,slow,-3.0464666666667206,-0.9396874357392723
im01,2020/02/07 12:15:16,57,left,medium,-1.6439999999999744,-0.31860465116278575
im01,2020/02/07 12:15:16,58,left,slow,-2.1279000000000563,-0.6563541024059396
im01,2020/02/07 12:15:16,59,left,fast,-3.0267166666666476,-0.427080099713087
im01,2020/02/07 12:15:16,60,right,fast,-1.963666666666648,-0.27708009971308706
