subject_id,date,trial,direction,speed,deviation_cm,deviation_sec
ie26,2020/07/24 17:42:12,1,right,fast,NA,NA
ie26,2020/07/24 17:42:12,2,right,medium,-0.6119999999999708,-0.11860465116278503
ie26,2020/07/24 17:42:12,3,left,medium,1.108000000000036,0.2147286821705496
ie26,2020/07/24 17:42:12,4,left,fast,0.9892500000000126,0.13958656695357877
ie26,2020/07/24 17:42:12,5,right,medium,-1.4719999999999738,-0.28527131782945225
ie26,2020/07/24 17:42:12,6,left,slow,-1.479500000000061,-0.4563541024059411
ie26,2020/07/24 17:42:12,7,left,fast,-1.373083333333316,-0.1937467663797539
ie26,2020/07/24 17:42:12,8,right,slow,-1.3174000000000623,-0.4063541024059415
ie26,2020/07/24 17:42:12,9,right,fast,0.9892500000000126,0.13958656695357877
ie26,2020/07/24 17:42:12,10,right,medium,0.3340000000000325,0.06472868217054893
ie26,2020/07/24 17:42:12,11,left,fast,2.2885333333333495,0.3229199002869126
ie26,2020/07/24 17:42:12,12,right,slow,-0.020600000000071894,-0.006354102405944446
ie26,2020/07/24 17:42:12,13,left,slow,-0.9932000000000647,-0.30635410240594224
ie26,2020/07/24 17:42:12,14,left,medium,1.1940000000000346,0.231395348837216
ie26,2020/07/24 17:42:12,15,right,fast,-3.853533333333316,-0.5437467663797539
ie26,2020/07/24 17:42:12,16,left,medium,0.7640000000000349,0.14806201550388273
ie26,2020/07/24 17:42:12,17,left,fast,0.9892500000000126,0.13958656695357877
ie26,2020/07/24 17:42:12,18,right,slow,-0.07463333333340483,-0.02302076907261099
ie26,2020/07/24 17:42:12,19,right,medium,2.8280000000000403,0.5480620155038838
ie26,2020/07/24 17:42:12,20,left,slow,-0.23673333333340363,-0.07302076907261063
ie26,2020/07/24 17:42:12,21,left,fast,4.5327500000000285,0.639586566953581
ie26,2020/07/24 17:42:12,22,right,fast,2.524766666666684,0.35625323362024613
ie26,2020/07/24 17:42:12,23,left,medium,1.3660000000000352,0.26472868217054946
ie26,2020/07/24 17:42:12,24,left,slow,-1.2093333333333964,-0.3730207690726084
ie26,2020/07/24 17:42:12,25,left,fast,-3.7354166666666493,-0.5270800997130872
ie26,2020/07/24 17:42:12,26,left,medium,-0.0099999999999687,-0.001937984496117965
ie26,2020/07/24 17:42:12,27,left,slow,-0.9932000000000647,-0.30635410240594224
ie26,2020/07/24 17:42:12,28,left,fast,-0.4281499999999845,-0.06041343304642084
ie26,2020/07/24 17:42:12,29,left,medium,0.4200000000000328,0.08139534883721565
ie26,2020/07/24 17:42:12,30,left,slow,1.3302333333332506,0.4103125642607189
ie26,2020/07/24 17:42:12,31,left,medium,1.108000000000036,0.2147286821705496
ie26,2020/07/24 17:42:12,32,right,fast,2.6428833333333515,0.37291990028691285
ie26,2020/07/24 17:42:12,33,left,slow,-0.1827000000000707,-0.05635410240594407
ie26,2020/07/24 17:42:12,34,right,medium,3.000000000000041,0.5813953488372172
ie26,2020/07/24 17:42:12,35,right,slow,2.6270333333332427,0.8103125642607164
ie26,2020/07/24 17:42:12,36,left,slow,0.4656999999999245,0.14364589759405444
ie26,2020/07/24 17:42:12,37,left,fast,3.58781666666669,0.506253233620247
ie26,2020/07/24 17:42:12,38,left,slow,-0.9391666666667318,-0.2896874357392757
ie26,2020/07/24 17:42:12,39,right,slow,2.1947666666665793,0.6769792309273841
ie26,2020/07/24 17:42:12,40,right,medium,4.548000000000046,0.8813953488372183
ie26,2020/07/24 17:42:12,41,right,fast,NA,NA
ie26,2020/07/24 17:42:12,42,right,slow,-1.3174000000000623,-0.4063541024059415
ie26,2020/07/24 17:42:12,43,left,medium,0.0760000000000316,0.014728682170548759
ie26,2020/07/24 17:42:12,44,right,fast,-1.373083333333316,-0.1937467663797539
ie26,2020/07/24 17:42:12,45,right,slow,0.7358666666665883,0.2269792309273869
ie26,2020/07/24 17:42:12,46,right,medium,NA,NA
ie26,2020/07/24 17:42:12,47,right,slow,-6.342500000000056,-1.9563541024059397
ie26,2020/07/24 17:42:12,48,right,fast,NA,NA
ie26,2020/07/24 17:42:12,49,left,medium,0.2480000000000322,0.048062015503882206
ie26,2020/07/24 17:42:12,50,right,fast,-1.7274333333333152,-0.24374676637975382
ie26,2020/07/24 17:42:12,51,left,medium,0.4200000000000328,0.08139534883721565
ie26,2020/07/24 17:42:12,52,right,fast,0.044316666666681215,0.006253233620245692
ie26,2020/07/24 17:42:12,53,left,slow,3.059299999999906,0.9436458975940488
ie26,2020/07/24 17:42:12,54,right,medium,2.0540000000000376,0.39806201550388326
ie26,2020/07/24 17:42:12,55,left,fast,NA,NA
ie26,2020/07/24 17:42:12,56,right,slow,1.9786333333332475,0.6103125642607179
ie26,2020/07/24 17:42:12,57,left,fast,4.296516666666694,0.6062532336202475
ie26,2020/07/24 17:42:12,58,right,medium,4.290000000000045,0.8313953488372181
ie26,2020/07/24 17:42:12,59,right,slow,1.7084666666665829,0.5269792309273852
ie26,2020/07/24 17:42:12,60,right,medium,2.9140000000000406,0.5647286821705505
